음식명,식품대분류명,에너지(kcal),탄수화물(g),당류(g),단백질(g),지방(g),추정_GI,추정_GL,혈당영향점수
갈치구이,구이류,127,4.3,0,9.83,7.36,10,0.43,4.3
고등어구이,구이류,202,6.25,0,13.37,13.22,10,0.625,6.25
더덕구이,구이류,184,31.1,11.6,3.1,5.2,50,15.55,36.9
떡갈비,구이류,202,2.46,0.4,21.38,11.82,50,1.23,2.66
조기구이,구이류,144,4.56,0.09,12.6,7.8,10,0.456,4.605
황태구이,구이류,219,13.45,7.1,23.9,7.7,10,1.345,17
훈제오리,구이류,319,4.83,0.11,17.22,25.63,50,2.415,4.885
무국,국 및 탕류,7,1.2,0.39,0.3,0.17,50,0.6,1.395
미역국,국 및 탕류,7,0.94,0,0.8,0.32,50,0.47,0.94
육개장,국 및 탕류,47,1.58,0.32,3,3.14,50,0.79,1.74
콩나물국,국 및 탕류,7,0.97,0.14,0.8,0.2,50,0.485,1.04
피자,빵 및 과자류,153,21.07,3.1,7.8,4.77,80,16.856,22.62
갓김치,김치류,37,7.07,2.46,3.26,0.4,50,3.535,8.3
깍두기,김치류,40,8.27,3.22,1.36,0.21,50,4.135,9.88
나박김치,김치류,10,1.15,0.34,0.46,0.38,50,0.575,1.32
무생채,생채·무침류,40,8.15,4.67,1.1,0.67,50,4.075,10.485
배추김치,김치류,38,6.49,2.4,1.98,0.43,50,3.245,7.69
백김치,김치류,16,3,1.04,0.95,0.07,50,1.5,3.52
부추김치,김치류,71,8.42,5.14,3.03,2.83,50,4.21,10.99
열무김치,김치류,36,5.87,0.68,2.39,0.38,50,2.935,6.21
오이소박이,김치류,37,6.66,3.17,1.76,0.37,50,3.33,8.245
총각김치,김치류,42,7.89,3,1.92,0.29,50,3.945,9.39
파김치,김치류,49,8.51,2.8,2.5,0.58,50,4.255,9.91
고사리나물,나물·숙채류,43,2.08,0.13,1.6,3.48,50,1.04,2.145
미역줄기볶음,볶음류,89,3.65,1.12,1.03,7.84,55,2.0075,4.21
숙주나물,나물·숙채류,26,2.46,0.15,1.7,1.45,50,1.23,2.535
시금치나물,나물·숙채류,27,3.02,0.84,1.6,1.31,50,1.51,3.44
꿀떡,빵 및 과자류,228,49.48,0.29,3.74,1.73,80,39.584,49.625
